  1 10 20 0030 D   260.4     5.2     7.1     9.4   251.9     2.4     8.0     8.3     5.0    76.7     2.2     0.0     0.00   -29.10    99.04     0.88    14.0 99999.0    14.1
  1 10 20 0130 D   270.8     5.4     6.8     8.6   262.3     2.5     8.1     7.8     4.9    78.4     1.7     0.0     0.00   -32.50    99.04     0.87    13.8 99999.0    14.1
  1 10 20 0230 D   282.4     5.8     5.1     8.4   275.1     2.4     9.0     7.4     4.9    80.8     2.0     0.0     0.00   -29.50    99.05     0.87    13.6 99999.0    14.1
  1 10 20 0330 D   283.3     5.7     6.3     8.3   280.6     2.6     9.8     7.5     4.8    80.0     1.6     0.0     0.00   -29.60    99.07     0.86    13.5 99999.0    14.1
  1 10 20 0430 D   281.4     5.0     6.6     8.4   278.5     2.3     9.6     7.8     4.9    79.0     1.2     0.0     0.00   -16.60    99.13     0.87    13.3 99999.0    14.1
  1 10 20 0530 D   284.7     5.4     7.6     7.9   283.1     2.9    10.7     7.5     4.9    80.2     0.8     0.0     1.20   -35.30    99.17     0.87    13.2 99999.0    14.1
  1 10 20 0630 C   286.9     5.3     7.3     7.5   285.3     3.0    11.3     7.2     5.0    82.6     0.5     0.0    70.80    19.50    99.20     0.87    13.1 99999.0    14.1
  1 10 20 0730 C   299.0     4.2    12.9     8.5   293.1     3.1    15.8     8.7     5.4    77.5    -0.4     0.0   275.20   170.30    99.32     0.90    13.1 99999.0    14.1
  1 10 20 0830 B   295.7     5.2    12.4    10.1   295.1     4.1    16.4    10.4     5.7    69.8    -0.6     0.0   445.50   293.80    99.47     0.92    13.0 99999.0    14.1
  1 10 20 0930 B   293.6     5.8    14.9    10.9   291.5     4.6    16.8    11.2     5.9    66.9    -0.6     0.0   478.80   319.20    99.55     0.93    13.0 99999.0    14.1
  1 10 20 1030 B   311.8     6.6    11.9    11.4   311.0     4.6    18.2    11.7     5.8    63.9    -0.7     0.0   395.00   263.40    99.59     0.92    13.0 99999.0    14.1
  1 10 20 1130 B   317.1     6.8    14.8    10.7   314.2     4.7    18.5    11.1     6.0    68.1    -0.7     0.0   357.50   233.90    99.64     0.94    13.0 99999.0    14.1
  1 10 20 1230 B   318.5     6.8    12.8    11.0   318.2     4.8    17.2    11.4     5.8    65.4    -0.7     0.0   374.10   250.10    99.65     0.92    13.1 99999.0    14.1
  1 10 20 1330 B   320.9     6.0    12.7    11.3   318.7     4.3    18.6    11.7     6.4    66.8    -0.8     0.0   425.00   269.40    99.66     0.96    13.1 99999.0    14.1
  1 10 20 1430 C   324.0     5.3    22.0    11.5   315.3     3.4    24.4    11.5     6.7    68.6    -0.1     0.0   298.50   178.50    99.70     0.98    13.2 99999.0    14.1
  1 10 20 1530 C   309.9     6.0    13.1    11.8   308.4     3.9    16.4    11.6     6.3    67.3     0.5     0.0   217.80   109.20    99.70     0.96    13.4 99999.0    14.1
  1 10 20 1630 C   319.5     5.2    15.4    11.5   318.3     3.3    15.1    11.3     6.1    66.7     0.4     0.0    65.10    21.40    99.74     0.94    13.4 99999.0    14.1
  1 10 20 1730 D   338.2     3.5    23.6    10.5   343.9     1.8    31.5    10.1     6.7    76.1     0.7     0.2     5.30   -13.30    99.76     0.98    13.5 99999.0    14.1
  1 10 20 1830 E   305.7     4.0    15.1     9.4   292.7     2.1    12.9     8.9     7.8    88.8     0.9     0.2     0.00   -11.80    99.76     1.06    13.5 99999.0    14.1
  1 10 20 1930 D   298.0     3.7     8.7     9.5   294.0     1.9    11.3     9.0     7.7    88.6     1.0     0.0     0.00   -15.90    99.77     1.05    13.5 99999.0    14.1
  1 10 20 2030 E   302.3     4.5     4.0     9.0   293.1     1.9     7.4     8.2     7.3    90.9     1.6     0.2     0.00    -9.00    99.76     1.03    13.5 99999.0    14.1
  1 10 20 2130 D   301.7     5.1     4.3     8.9   289.6     2.1     8.0     7.9     7.0    91.0     1.9     0.0     0.00    -7.90    99.74     1.01    13.4 99999.0    14.1
  1 10 20 2230 D   313.2     5.4     5.4     8.6   305.3     2.2     9.2     7.7     6.7    90.2     1.8     0.0     0.00   -12.40    99.75     0.99    13.3 99999.0    14.1
  1 10 20 2330 D   309.8     5.7     5.7     8.1   299.9     2.3     8.4     7.2     6.5    91.9     1.9     0.0     0.00   -12.40    99.74     0.97    13.2 99999.0    14.1
  1 10 20 2400 X   301.1     5.3     9.8     9.6   298.5     3.0    15.0     9.3     6.0    77.4     0.7     0.6   142.10    78.10    99.50     0.94    13.3 99999.0    14.1
  2 10 20 0030 D   320.0     5.8     3.1     7.5   307.8     2.3     9.3     6.6     6.2    93.6     1.8     0.0     0.00   -13.00    99.76     0.95    13.1 99999.0    14.0
  2 10 20 0130 E   332.1     5.3     5.2     7.0   322.7     1.9    12.6     6.2     5.9    94.8     1.7     0.0     0.00   -12.00    99.74     0.93    12.9 99999.0    14.0
  2 10 20 0230 D   339.5     5.6     5.1     6.8   328.2     2.1    11.9     5.9     5.8    95.8     1.7     0.0     0.00   -12.40    99.74     0.93    12.8 99999.0    14.0
  2 10 20 0330 D   337.0     5.5     5.2     6.2   325.5     2.3    12.0     5.6     5.7    96.6     1.2     0.0     0.00   -12.50    99.75     0.91    12.7 99999.0    14.0
  2 10 20 0430 E   340.4     5.0     4.7     5.8   330.6     2.0    13.0     5.3     5.4    97.1     1.1     0.0     0.00   -13.50    99.77     0.90    12.6 99999.0    14.0
  2 10 20 0530 D   337.7     5.1     5.4     5.8   327.4     1.9    11.7     5.1     5.2    97.3     1.5     0.0     1.20   -10.40    99.79     0.88    12.4 99999.0    14.0
  2 10 20 0630 C   348.6     5.8     7.6     5.5   343.9     2.4    18.8     5.2     4.7    93.1     0.6     0.0    54.90    25.90    99.85     0.85    12.3 99999.0    14.1
  2 10 20 0730 C   356.6     5.4    11.1     6.3   352.4     2.6    23.1     6.4     2.9    76.0    -0.1     0.0   266.40   169.40    99.98     0.76    12.2 99999.0    14.1
  2 10 20 0830 B   359.7     5.3    12.4     7.5   358.8     2.9    25.6     7.7     0.8    59.3    -0.5     0.0   459.50   295.00   100.10     0.65    12.1 99999.0    14.1
  2 10 20 0930 B     0.8     4.8    17.0     8.6     7.3     3.1    25.5     9.0    -0.9    47.5    -0.8     0.0   605.10   413.20   100.17     0.57    12.1 99999.0    14.1
  2 10 20 1030 B   349.6     4.0    21.0     9.3   354.1     2.9    35.3     9.8    -1.4    43.5    -1.0     0.0   697.20   478.80   100.18     0.55    12.1 99999.0    14.1
  2 10 20 1130 B   338.5     4.0    22.7     9.8   339.4     3.1    31.9    10.5    -1.3    42.0    -1.3     0.0   714.60   483.80   100.15     0.56    12.1 99999.0    14.1
  2 10 20 1230 B   333.8     4.2    22.0    10.3   335.6     3.1    32.3    11.0    -0.8    41.9    -1.3     0.0   700.40   465.30   100.11     0.58    12.1 99999.0    14.1
  2 10 20 1330 B   327.5     3.7    28.9    10.8   322.2     2.8    36.3    11.2    -0.8    41.2    -0.9     0.0   592.60   362.90   100.08     0.58    12.2 99999.0    14.1
  2 10 20 1430 B   316.4     2.7    29.6    11.0   312.1     2.3    35.7    11.2    -0.9    40.8    -0.4     0.0   483.10   267.30   100.09     0.58    12.4 99999.0    14.1
  2 10 20 1530 B   327.9     2.4    28.0    11.2   329.0     1.9    31.7    11.2    -0.7    41.2    -0.1     0.0   303.40   137.80   100.09     0.58    12.6 99999.0    14.1
  2 10 20 1630 B   324.6     1.9    28.6    11.0   318.4     1.5    28.9    10.8    -0.7    42.4     0.4     0.0   124.90    26.10   100.06     0.58    12.7 99999.0    14.1
  2 10 20 1730 D    60.6     2.6    21.6    10.4    63.2     1.6     9.8     9.8    -0.1    47.9     1.2     0.0    12.20   -17.90    99.99     0.61    12.8 99999.0    14.1
  2 10 20 1830 D    95.7     4.8     5.2     8.7    96.9     2.3    10.4     8.2     1.1    58.5     0.9     0.0     0.00   -30.30    99.94     0.66    12.8 99999.0    14.1
  2 10 20 1930 D    95.9     4.8     2.5     8.4    92.3     1.8     9.3     7.5     1.6    64.1     1.9     0.0     0.00   -28.10    99.93     0.69    12.8 99999.0    14.0
  2 10 20 2030 D    93.8     5.0     1.9     8.4    83.9     1.8     8.3     7.1     1.4    64.9     2.7     0.0     0.00   -29.50    99.90     0.68    12.7 99999.0    14.0
  2 10 20 2130 D   108.6     4.7     4.8     8.2   101.7     1.5    11.9     6.5     1.8    69.2     3.3     0.0     0.00   -25.80    99.87     0.70    12.6 99999.0    14.0
  2 10 20 2230 D   130.5     4.8     8.8     7.7   112.6     1.6    12.2     6.3     1.8    70.4     2.8     0.0     0.00   -23.60    99.86     0.70    12.5 99999.0    14.0
  2 10 20 2330 D   155.7     4.7     6.4     6.8   168.8     1.7    12.0     6.0     1.9    72.6     1.6     0.0     0.00   -25.20    99.87     0.70    12.3 99999.0    14.0
  2 10 20 2400 X     2.1     4.5    13.9     8.3   351.9     2.2    21.9     7.9     1.9    66.3     0.8     0.0   209.00   119.60    99.95     0.71    12.5 99999.0    14.1
  3 10 20 0030 D   157.7     4.8     7.1     6.6   166.9     2.1    11.3     6.1     1.6    70.6     1.1     0.0     0.00   -13.30    99.88     0.69    12.2 99999.0    14.0
  3 10 20 0130 E   157.0     4.0     9.6     6.7   161.8     1.8    15.9     6.2     1.6    70.1     0.9     0.0     0.00    -8.80    99.90     0.69    12.0 99999.0    14.0
  3 10 20 0230 E   151.5     3.4    12.1     6.8   120.9     1.2    13.5     6.2     2.0    72.3     1.2     0.0     0.00    -9.00    99.88     0.71    11.9 99999.0    14.0
  3 10 20 0330 E   178.3     4.1     7.2     6.8   188.4     1.7    16.6     6.5     2.3    72.0     0.6     0.0     0.00   -10.90    99.89     0.72    11.8 99999.0    14.0
  3 10 20 0430 E   174.6     4.0     8.0     6.5   178.6     2.0    12.7     6.4     2.3    72.9     0.4     0.0     0.00   -22.30    99.91     0.72    11.8 99999.0    14.0
  3 10 20 0530 D   176.2     4.5     7.2     6.2   176.1     2.2    11.4     6.0     2.4    75.9     0.4     0.0     1.00   -17.30    99.90     0.73    11.7 99999.0    14.0
  3 10 20 0630 D   177.6     4.6     7.9     6.3   180.5     1.9    12.2     6.2     2.8    76.5     0.3     0.0    32.30    10.10    99.92     0.75    11.6 99999.0    14.0
  3 10 20 0730 C   178.3     4.6     7.5     7.1   181.5     2.5    12.2     7.3     3.1    73.0    -0.4     0.0   110.70    63.70    99.97     0.77    11.6 99999.0    14.0
  3 10 20 0830 C   177.5     4.7    10.7     8.3   180.1     3.1    14.2     8.7     3.0    66.0    -0.7     0.0   178.70   107.50   100.01     0.76    11.6 99999.0    14.1
  3 10 20 0930 C   194.0     3.6    14.2     9.2   197.1     2.9    17.9     9.7     3.7    64.4    -1.0     0.0   283.30   179.40   100.05     0.80    11.6 99999.0    14.1
  3 10 20 1030 B   197.9     3.4    20.9    10.7   199.0     2.8    24.6    11.3     4.3    60.6    -1.2     0.0   554.30   371.80   100.09     0.83    11.6 99999.0    14.1
  3 10 20 1130 C   222.3     3.1    19.6    11.7   223.1     2.6    18.7    12.1     4.3    57.0    -0.8     0.0   308.00   198.50   100.11     0.83    11.7 99999.0    14.1
  3 10 20 1230 B   256.8     2.2    30.7    11.9   265.8     2.0    30.3    12.3     4.3    56.2    -0.7     0.0   246.10   156.70   100.06     0.83    11.8 99999.0    14.1
  3 10 20 1330 C   294.6     3.1    12.6    11.7   296.2     2.4    16.5    11.9     4.3    57.9    -0.4     0.0    88.30    50.30   100.00     0.83    11.9 99999.0    14.1
  3 10 20 1430 C   282.6     3.9    13.1    11.2   282.9     2.8    14.7    11.3     4.3    59.9    -0.3     0.0    51.90    27.10    99.95     0.83    12.1 99999.0    14.1
  3 10 20 1530 C   293.0     3.3    19.3    10.5   295.3     2.3    16.3    10.7     5.6    68.7    -0.3     0.0    91.30    48.90    99.92     0.91    12.2 99999.0    14.1
  3 10 20 1630 D   777.7     1.3   777.7    10.3   777.7     0.8   777.7    10.2     6.5    75.3     0.2     0.0    39.20    13.60    99.90     0.97    12.2 99999.0    14.1
  3 10 20 1730 D   777.7     0.6   777.7    10.2   777.7     0.7   777.7     9.6     7.3    83.0     1.1     0.0     2.90    -7.40    99.88     1.03    12.3 99999.0    14.1
  3 10 20 1830 F   777.7     0.9   777.7     9.6   777.7     0.6   777.7     9.0     7.4    87.3     1.1     0.4     0.00    -7.20    99.89     1.03    12.3 99999.0    14.0
  3 10 20 1930 F   777.7     0.7   777.7     9.1   777.7     0.8   777.7     8.6     7.7    91.8     1.1     0.6     0.00    -5.90    99.89     1.05    12.3 99999.0    14.0
  3 10 20 2030 E   335.5     3.8     7.7     8.2   329.0     1.9    14.1     7.9     7.7    93.6     0.6     0.6     0.00    -6.80    99.90     1.05    12.3 99999.0    14.0
  3 10 20 2130 E   343.4     2.9     8.7     7.6   334.7     1.3    16.5     7.5     7.7    95.9     0.1     1.0     0.00    -6.90    99.91     1.05    12.3 99999.0    14.0
  3 10 20 2230 E   335.9     3.1     6.8     7.3   330.2     1.4    16.2     7.3     7.5    96.6     0.1     0.4     0.00    -8.50    99.87     1.04    12.3 99999.0    14.0
  3 10 20 2330 F   355.0     3.1    11.0     7.2   357.2     1.2    22.2     7.3     7.5    97.0    -0.1     0.2     0.00    -7.70    99.84     1.04    12.2 99999.0    14.0
  3 10 20 2400 X   202.9     3.2    12.2     8.7   215.0     1.9    19.9     8.6     4.6    74.8     0.1     7.6    82.80    45.70    99.94     0.86    12.0 99999.0    14.0
  4 10 20 0030 F   360.0     2.9     9.1     7.0   355.5     1.2    22.5     7.0     7.3    96.8    -0.0     0.2     0.00    -7.30    99.81     1.02    12.2 99999.0    14.0
  4 10 20 0130 F   344.4     4.3     7.9     6.3   338.7     2.1    18.3     6.3     6.4    95.0    -0.1     0.4     0.00    -7.10    99.81     0.97    12.2 99999.0    14.0
  4 10 20 0230 E   343.0     3.6     7.1     5.5   331.9     1.8    16.6     5.6     5.7    95.3    -0.2     0.4     0.00    -7.40    99.81     0.92    12.1 99999.0    14.0
