  2  1 22 0530 C     0.0     7.2    10.9    -7.6     1.9     3.3    20.8    -7.1    -9.4    88.3    -0.9     0.0    71.40 99999.00    99.19     0.30     2.6 99999.0    10.5
  2  1 22 0630 C   355.8     6.8    10.2    -7.8   356.2     3.0    20.3    -7.3    -9.7    88.2    -0.9     0.0    71.20 99999.00    99.26     0.29     2.6 99999.0    10.5
  2  1 22 0730 C   340.6     6.0    10.3    -8.2   336.5     3.4    16.5    -7.7   -10.2    87.1    -0.9     0.0    75.10 99999.00    99.41     0.28     2.5 99999.0    10.5
  2  1 22 0830 C   340.5     5.3    12.7    -8.6   335.1     3.0    18.9    -8.1   -10.8    86.2    -1.0     0.0    96.20 99999.00    99.53     0.27     2.5 99999.0    10.5
  2  1 22 0930 C   349.3     4.8    12.8    -8.1   345.9     2.6    20.9    -7.6   -10.2    86.0    -1.1     0.0   167.00 99999.00    99.60     0.28     2.5 99999.0    10.5
  2  1 22 1030 C   346.8     5.9    10.1    -7.3   345.4     3.3    18.9    -6.6    -9.4    84.1    -1.3     0.0   246.30 99999.00    99.66     0.30     2.5 99999.0    10.5
  2  1 22 1130 C   333.8     3.4    32.1    -6.3   343.0     2.9    20.4    -5.7    -8.7    82.2    -1.3     0.0   293.70 99999.00    99.66     0.32     2.5 99999.0    10.5
  2  1 22 1230 B   348.0     3.6    43.0    -4.6   329.2     2.7    24.6    -3.8    -8.0    73.4    -1.6     0.0   523.20 99999.00    99.68     0.33     2.4 99999.0    10.5
  2  1 22 1330 B   334.0     3.7    19.8    -3.9   328.0     2.9    22.4    -3.1    -8.1    69.0    -1.5     0.0   448.50 99999.00    99.74     0.33     2.4 99999.0    10.5
  2  1 22 1430 C   329.4     2.9    18.8    -3.8   329.9     2.3    21.6    -3.1    -8.4    67.2    -1.5     0.0   331.40 99999.00    99.84     0.32     2.4 99999.0    10.5
  2  1 22 1530 B   327.8     2.5    17.5    -4.0   333.2     1.9    19.6    -3.4    -8.8    67.3    -1.2     0.0   158.00 99999.00    99.91     0.31     2.4 99999.0    10.5
  2  1 22 1630 C   303.1     3.5     8.2    -4.8   298.0     2.1    10.1    -4.4    -9.0    72.7    -0.7     0.0    78.40 99999.00    99.90     0.31     2.4 99999.0    10.5
  2  1 22 1730 C   309.0     4.4     5.5    -6.0   306.5     2.6    10.0    -5.8    -9.8    76.1    -0.5     0.0    67.80 99999.00    99.90     0.29     2.4 99999.0    10.5
  2  1 22 1830 C   323.7     5.3     7.1    -7.8   323.2     3.1    11.5    -7.6   -11.3    78.6    -0.5     0.0    67.90 99999.00    99.93     0.26     2.3 99999.0    10.4
  2  1 22 1930 C   325.9     5.0     5.3    -9.0   321.9     2.8    10.1    -8.8   -12.2    81.5    -0.4     0.0    68.70 99999.00    99.95     0.24     2.3 99999.0    10.4
  2  1 22 2030 C   325.5     4.6     5.0    -9.9   318.8     2.4    10.1    -9.8   -12.9    83.9    -0.2     0.0    69.00 99999.00    99.97     0.23     2.3 99999.0    10.4
  2  1 22 2130 B   320.4     4.1     8.9   -10.7   306.8     1.8    16.5   -10.6   -13.9    83.3    -0.1     0.0    69.10 99999.00    99.98     0.21     2.2 99999.0    10.4
  2  1 22 2230 B   295.4     3.4     5.4   -11.1   278.4     1.8    11.1   -11.2   -14.3    83.8     0.1     0.0    69.30 99999.00    99.97     0.20     2.2 99999.0    10.4
  2  1 22 2330 C   295.7     3.9     6.6   -11.6   285.4     2.1     8.7   -11.6   -14.5    85.7    -0.1     0.0    69.80 99999.00    99.97     0.20     2.2 99999.0    10.4
  2  1 22 2400 X   340.6     5.2    13.6    -7.2   336.2     2.8    18.0    -6.8   -10.0    82.6    -0.8     0.4   142.10 99999.00    99.60     0.29     2.5 99999.0    10.5
  3  1 22 0030 C   306.3     4.9     4.7   -12.2   300.4     2.5     9.5   -12.2   -15.0    87.1    -0.0     0.0    68.10 99999.00    99.98     0.19     2.1 99999.0    10.4
  3  1 22 0130 C   308.7     4.6     4.4   -12.7   299.3     2.3     8.9   -12.7   -15.6    86.6     0.0     0.0    68.10 99999.00   100.00     0.18     2.1 99999.0    10.4
  3  1 22 0230 C   308.2     4.5     4.3   -13.0   295.6     2.1     8.9   -13.1   -16.1    85.3     0.2     0.0    67.00 99999.00   100.03     0.17     2.1 99999.0    10.4
  3  1 22 0330 C   302.8     4.0     4.8   -13.3   283.8     2.1     8.3   -13.4   -16.3    86.5     0.2     0.0    65.70 99999.00   100.07     0.17     2.0 99999.0    10.4
  3  1 22 0430 C   299.3     4.0    13.2   -13.8   274.3     2.2     7.9   -14.1   -16.9    87.5     0.6     0.0    63.90 99999.00   100.08     0.16     2.0 99999.0    10.4
  3  1 22 0530 C   266.6     2.9     9.5   -14.5   262.8     2.3     6.6   -14.4   -17.5    85.4    -0.2     0.0    64.80 99999.00   100.08     0.16     1.9 99999.0    10.4
