  1 12 21 0030 D   128.5     5.7     6.2     5.3   108.2     1.8     9.7     3.5    -5.0    53.2     3.8     0.0    41.60    -6.00    99.39     0.42     3.0 99999.0    12.6
  1 12 21 0130 D   124.1     5.9     2.3     5.0    99.6     2.0     8.6     3.5    -4.4    55.2     3.0     0.0    40.60    -7.60    99.39     0.44     2.9 99999.0    12.6
  1 12 21 0230 D   128.5     5.0     4.5     4.6    93.8     2.0     9.1     4.1    -2.0    63.9     0.9     0.0    41.00    -2.90    99.42     0.53     2.9 99999.0    12.6
  1 12 21 0330 D   125.1     5.2    10.3     4.0   106.9     2.5    12.4     3.6    -0.9    71.5     0.8     0.0    41.40   -20.50    99.37     0.57     2.9 99999.0    12.6
  1 12 21 0430 D   132.8     5.3    11.9     3.3   117.7     2.3    14.3     3.0    -0.3    77.8     0.6     0.0    41.70   -15.40    99.32     0.60     2.9 99999.0    12.6
  1 12 21 0530 D   135.3     5.9    16.3     3.5   133.2     2.9    14.3     3.3     0.1    78.6     0.4     0.0    41.90    -6.90    99.25     0.61     2.9 99999.0    12.6
  1 12 21 0630 D   143.5     5.0     6.7     3.5   136.7     2.8    11.5     3.6    -0.3    75.2    -0.1     0.0    43.20    -5.90    99.25     0.60     2.9 99999.0    12.6
  1 12 21 0730 C   158.6     4.6     9.5     3.6   155.8     2.6    11.6     3.7    -0.5    73.0    -0.2     0.0    57.30     3.50    99.24     0.59     2.9 99999.0    12.6
  1 12 21 0830 C   170.5     4.9     9.0     3.5   163.2     2.7    10.0     3.7     0.8    80.0    -0.5     0.0    89.60    28.80    99.23     0.65     2.9 99999.0    12.6
  1 12 21 0930 C   186.0     5.1     9.5     3.5   188.6     3.2    12.5     4.0     3.1    93.1    -1.0     0.2   136.20    62.10    99.18     0.77     3.0 99999.0    12.6
  1 12 21 1030 C   199.1     4.8    11.6     4.4   208.2     3.3    13.8     4.9     4.2    94.7    -1.0     0.0   122.50    54.60    99.10     0.83     3.0 99999.0    12.6
