  2 12 19 0530 D   130.7    50.0     3.0    -1.6   322.7     4.8    14.6    -1.3    -3.3    85.6    -0.6     0.0     0.00    -8.60    99.08     0.48     4.0     7.4    11.5
  2 12 19 0630 D   130.1    46.0     6.6    -2.0   328.7     4.6    15.6    -1.7    -4.2    82.1    -0.7     0.0     0.20    -9.50    99.16     0.45     3.9     7.4    11.5
  2 12 19 0730 D   127.9    20.3    24.5    -2.2   338.4     4.1    18.1    -1.8    -5.1    78.1    -0.7     0.0    17.70    -2.40    99.25     0.42     3.9     7.4    11.5
  2 12 19 0830 C   340.4     6.6    14.2    -2.0   339.1     4.0    17.8    -1.6    -4.7    78.9    -0.8     0.0    86.50    28.50    99.32     0.43     3.8     7.4    11.5
  2 12 19 0930 C   336.6     6.6    11.4    -1.5   338.5     4.3    18.3    -1.0    -3.9    79.3    -1.0     0.0   239.60   103.70    99.39     0.46     3.8     7.4    11.5
  2 12 19 1030 B   332.2     4.5    20.2    -1.0   326.7     3.5    21.5    -0.3    -3.5    77.9    -1.3     0.0   391.70   126.10    99.42     0.47     3.8     7.4    11.5
  2 12 19 1130 C   332.7     4.3    18.3    -0.6   334.9     3.3    22.4     0.1    -3.7    74.5    -1.3     0.0   341.20   107.10    99.41     0.47     3.8     7.4    11.5
  2 12 19 1230 C   306.5     3.5    18.0     0.0   301.0     3.2    20.1     0.6    -3.7    71.2    -1.2     0.0   241.90    77.30    99.40     0.46     3.7     7.4    11.5
  2 12 19 1330 C   298.0     4.4    11.6    -0.3   296.8     3.6    14.3     0.2    -3.6    74.4    -1.1     0.0    98.30    28.40    99.41     0.47     3.7     7.4    11.5
  2 12 19 1430 C   305.9     5.2     8.9    -0.7   304.4     3.9    13.7    -0.2    -3.5    77.5    -1.0     0.0    57.00    23.50    99.44     0.47     3.7     7.4    11.5
  2 12 19 1530 D   312.6     4.9     9.4    -0.8   312.2     3.6    14.2    -0.4    -3.1    80.9    -0.9     0.0    26.40     8.90    99.47     0.49     3.7     7.4    11.5
  2 12 19 1630 D   308.6     3.7    10.9    -0.9   305.5     2.9    13.2    -0.5    -3.2    81.3    -0.7     0.0     2.20    -4.50    99.47     0.49     3.7     7.4    11.5
  2 12 19 1730 D   303.2     3.2     9.2    -1.1   303.6     2.6    13.8    -0.7    -3.4    80.6    -0.7     0.0     0.00    -6.10    99.47     0.48     3.7     7.4    11.5
  2 12 19 1830 E   294.3     2.7    17.3    -1.2   289.8     2.4    20.3    -0.9    -3.6    80.8    -0.7     0.0     0.00    -6.60    99.47     0.47     3.7     7.4    11.5
  2 12 19 1930 E   266.6     2.3    16.5    -1.6   268.0     2.1    15.5    -1.3    -3.7    82.7    -0.6     0.0     0.00   -13.30    99.46     0.46     3.7     7.4    11.4
  2 12 19 2030 D   248.0     3.0    13.7    -1.4   245.2     2.5    13.7    -1.1    -3.8    81.5    -0.7     0.0     0.00    -6.50    99.44     0.46     3.7     7.3    11.4
