  2 11 19 0530 D   251.9     5.1     9.2     1.1   252.2     3.9    12.1     1.5     1.7   100.4    -0.8     0.0     0.00    -2.70    99.63     0.69     5.9    11.9    13.8
  2 11 19 0630 D   258.0     5.2    12.3     1.8   259.9     3.6    14.8     2.2     2.2    99.0    -0.9     0.0     2.00    -2.30    99.62     0.72     5.9    11.9    13.8
  2 11 19 0730 C   241.2     4.5     8.8     2.5   241.4     3.3    12.8     2.9     2.2    93.6    -0.8     0.0    75.50    11.00    99.65     0.72     5.9    11.9    13.8
  2 11 19 0830 C   259.3     6.6    13.7     2.8   260.4     4.9    15.0     3.3     1.5    87.1    -1.0     0.0    98.60    31.20    99.69     0.68     5.9    11.9    13.8
  2 11 19 0930 D   267.8     8.2    11.2     3.2   268.3     6.3    15.0     3.9    -0.0    74.5    -1.3     0.0   414.90   128.80    99.72     0.61     5.9    11.9    13.8
  2 11 19 1030 D   273.4     8.4    11.7     4.1   276.2     6.4    14.7     4.9    -0.6    66.4    -1.6     0.0   415.40   129.60    99.77     0.58     5.9    11.9    13.8
  2 11 19 1130 D   263.8     9.1    11.6     4.6   263.5     7.1    13.9     5.5    -0.7    63.9    -1.7     0.0   478.40   174.40    99.76     0.58     5.9    11.9    13.8
  2 11 19 1230 D   272.5     9.2    13.2     4.5   275.4     6.8    14.4     5.1    -1.6    60.8    -1.3     0.0   196.10    51.90    99.75     0.54     6.0    11.8    13.8
  2 11 19 1330 D   281.8    10.0    10.7     4.1   281.3     7.1    13.1     4.6    -2.4    59.7    -1.0     0.0    85.00    19.80    99.74     0.51     6.0    11.8    13.8
  2 11 19 1430 D   276.2     8.7     9.9     3.9   277.1     6.3    13.9     4.3    -2.2    61.6    -0.9     0.0    43.40     8.50    99.75     0.52     6.0    11.8    13.8
  2 11 19 1530 D   272.0     8.4     9.3     3.7   272.8     5.9    13.5     4.2    -2.6    60.6    -0.8     0.0    28.20     2.20    99.77     0.51     6.0    11.8    13.8
  2 11 19 1630 D   272.9     8.3     9.7     3.7   275.7     5.6    13.5     4.1    -2.4    61.8    -0.7     0.0     7.50    -8.10    99.78     0.51     6.1    11.8    13.8
  2 11 19 1730 D   270.9     6.8     9.6     3.5   271.9     4.9    12.3     3.9    -2.2    63.5    -0.7     0.0     0.00   -13.80    99.79     0.52     6.0    11.7    13.8
  2 11 19 1830 D   272.1     7.6     9.9     3.4   273.6     5.3    12.4     3.7    -2.6    62.2    -0.6     0.0     0.00   -15.60    99.81     0.51     6.0    11.7    13.8
  2 11 19 1930 D   279.8     7.1     9.5     3.2   280.4     5.1    12.0     3.5    -4.0    56.7    -0.6     0.0     0.00   -15.30    99.82     0.45     6.0    11.7    13.8
  2 11 19 2030 D   267.9     5.0    10.2     2.5   265.1     3.5    10.3     2.7    -3.3    63.1    -0.3     0.0     0.00   -40.20    99.82     0.48     6.0    11.7    13.8
  2 11 19 2130 D   245.6     4.2     8.4     1.4   244.7     2.3     8.9     1.3    -2.6    73.8     0.3     0.0     0.00   -51.30    99.81     0.51     6.0    11.6    13.8
  2 11 19 2230 D   247.4     4.5     4.1     0.9   243.7     2.2     8.0     0.4    -2.3    80.4     0.9     0.0     0.00   -48.40    99.78     0.52     6.0    11.6    13.7
  2 11 19 2330 D   251.8     4.8     6.9     0.8   250.1     2.1    10.4     0.0    -2.4    82.5     1.6     0.0     0.00   -43.80    99.77     0.51     5.9    11.6    13.7
  2 11 19 2400 X   266.5     6.4     9.2     2.6   267.4     4.6    13.0     2.9    -0.7    77.6    -0.7     0.0    76.90    12.00    99.73     0.59     5.9    11.8    13.8
  3 11 19 0030 D   252.0     5.0     4.2     0.9   255.6     2.0    11.2    -0.2    -2.3    84.0     2.1     0.0     0.00   -38.20    99.73     0.52     5.8    11.6    13.7
  3 11 19 0130 E   255.9     4.4     7.6     0.8   253.4     2.1    12.7    -0.6    -2.3    87.4     3.0     0.0     0.00   -31.80    99.70     0.52     5.7    11.6    13.7
  3 11 19 0230 D   245.6     4.3    10.5     0.1   241.6     2.3     7.6    -0.9    -2.1    90.1     2.0     0.0     0.00   -20.00    99.69     0.52     5.7    11.5    13.7
