  2 11 21 0530 C   287.4     5.1     5.2    -0.5   274.8     2.5     7.6    -0.8    -3.9    78.3     0.6     0.0    92.40   -45.80   100.19     0.46     8.4 99999.0    14.3
  2 11 21 0630 C   291.5     5.4     5.2    -0.8   280.7     2.7     8.4    -1.1    -3.9    81.1     0.7     0.0   107.50   -29.40   100.20     0.46     8.4 99999.0    14.3
  2 11 21 0730 C   294.5     5.1     7.6    -0.1   287.9     2.9    12.0     0.1    -3.3    77.3    -0.3     0.0   236.60    66.40   100.27     0.48     8.2 99999.0    14.3
  2 11 21 0830 B   293.7     3.7    12.8     1.7   290.8     3.0    17.2     2.3    -2.5    69.5    -1.0     0.0   400.80   189.50   100.39     0.51     8.2 99999.0    14.4
  2 11 21 0930 B   289.7     4.3    13.9     3.6   288.9     3.7    16.7     4.3    -2.5    60.8    -1.5     0.0   540.70   288.30   100.49     0.51     8.1 99999.0    14.4
  2 11 21 1030 B   293.1     5.3    18.8     4.5   294.4     4.3    20.9     5.4    -3.0    54.6    -1.8     0.0   536.70   282.90   100.52     0.49     8.1 99999.0    14.4
  2 11 21 1130 B   295.1     6.1    13.2     5.1   291.8     4.6    16.6     6.1    -4.2    47.3    -1.9     0.0   530.80   282.00   100.41     0.45     8.1 99999.0    14.4
  2 11 21 1230 C   282.9     6.3    13.7     5.7   278.2     5.0    17.2     6.8    -4.7    43.3    -2.2     0.0   604.00   322.10   100.38     0.43     8.2 99999.0    14.4
  2 11 21 1330 B   282.8     6.1    16.4     5.8   283.6     4.5    17.8     6.6    -5.0    43.0    -1.6     0.0   417.30   170.70   100.36     0.42     8.3 99999.0    14.4
  2 11 21 1430 B   282.2     6.3    18.1     6.4   280.8     4.7    17.4     7.2    -5.4    40.0    -1.6     0.0   382.20   135.20   100.34     0.41     8.4 99999.0    14.4
  2 11 21 1530 C   299.3     5.8    10.5     6.2   298.2     4.0    14.7     6.8    -4.7    43.5    -1.2     0.0   231.00    23.10   100.33     0.43     8.5 99999.0    14.4
  2 11 21 1630 C   292.3     5.1    12.1     5.9   294.0     3.2    13.7     6.2    -4.5    45.7    -0.6     0.0   125.10   -41.10   100.31     0.44     8.5 99999.0    14.4
  2 11 21 1730 C   282.8     5.1     6.2     5.2   283.8     2.5    10.2     5.1    -4.4    49.4     0.1     0.0    90.00   -45.30   100.29     0.44     8.6 99999.0    14.3
  2 11 21 1830 C   286.7     4.6     7.0     4.6   282.3     2.2    10.5     4.5    -3.9    53.7     0.1     0.0    91.20   -34.20   100.30     0.46     8.5 99999.0    14.3
  2 11 21 1930 B   278.7     4.2     9.7     4.0   272.5     1.6    12.3     3.7    -3.7    57.4     0.7     0.0    90.70   -45.40   100.29     0.46     8.5 99999.0    14.3
